event_id,release_time,M0_elasticnet,M0_gbdt,M0_ols,M1_elasticnet,M1_gbdt,M1_ols,M2_elasticnet,M2_gbdt,M2_ols,M3_elasticnet,M3_gbdt,M3_ols,selected
146,2025-05-02 13:30:00,0.0843094522598952,0.0859192129567932,0.0843094522598952,0.0844345719232913,0.0831051037630035,0.0814953430661055,0.0844345719232913,0.0831051037630035,0.08082544005523289,0.0816204627295016,0.0831051037630035,0.07660674315705,0.0831051037630035
147,2025-05-12 13:31:00,0.0936847613129338,0.0952945220098318,0.0936847613129338,0.0938098809763299,0.09248041281604209,0.0908706521191441,0.0938098809763299,0.09248041281604209,0.09020074910827149,0.0909957717825402,0.09248041281604209,0.0859820522100886,0.09248041281604209
148,2025-05-15 19:00:00,0.0935659002534601,0.0952945220098318,0.0935659002534601,0.0936910199168562,0.09248041281604209,0.09075179105967039,0.0936910199168562,0.09248041281604209,0.09008188804879778,0.0908769107230665,0.09248041281604209,0.0858631911506149,0.09248041281604209
149,2025-06-06 13:30:00,0.0972347489131174,0.0989633706694891,0.0972347489131174,0.0973598685765135,0.0961492614756994,0.0944206397193277,0.0973598685765135,0.0961492614756994,0.09375073670845509,0.0945457593827238,0.0961492614756994,0.0895320398102722,0.0961492614756994
150,2025-06-10 13:31:00,0.096044062723648,0.0989633706694891,0.0972347489131174,0.09616918238704411,0.0961492614756994,0.0944206397193277,0.09616918238704411,0.0961492614756994,0.09375073670845509,0.09335507319325441,0.0961492614756994,0.0907227259997416,0.0961492614756994
151,2025-06-20 19:00:00,0.10856810731424871,0.1114874152600898,0.1097587935037181,0.10869322697764482,0.1086733060663001,0.1069446843099284,0.10869322697764482,0.1086733060663001,0.10627478129905579,0.10587911778385511,0.1086733060663001,0.1032467705903423,0.1086733060663001
152,2025-07-04 13:30:00,0.1133255140656985,0.1114874152600898,0.1145162002551679,0.11345063372909461,0.1086733060663001,0.1117020910613782,0.11345063372909461,0.1086733060663001,0.11103218805050559,0.11063652453530491,0.1086733060663001,0.1080041773417921,0.1086733060663001
153,2025-07-14 13:30:00,0.1285654535942955,0.1267273547886868,0.1297561397837649,0.12869057325769162,0.12391324559489711,0.1269420305899752,0.12869057325769162,0.12391324559489711,0.12627212757910258,0.1258764640639019,0.12391324559489711,0.12324411687038911,0.12391324559489711
154,2025-07-17 19:00:00,0.1353559064958047,0.133517807690196,0.1365465926852741,0.13548102615920082,0.1307036984964063,0.1337324834914844,0.13548102615920082,0.1307036984964063,0.1330625804806118,0.1326669169654111,0.1307036984964063,0.1300345697718983,0.1307036984964063
155,2025-08-08 13:30:00,0.1398155700604696,0.1379774712548609,0.141006256249939,0.13994068972386572,0.1351633620610712,0.1381921470561493,0.13994068972386572,0.1351633620610712,0.1375222440452767,0.137126580530076,0.1351633620610712,0.1344942333365632,0.1351633620610712
156,2025-08-13 13:31:00,0.1415415001158133,0.1379774712548609,0.1427321863052827,0.1416666197792094,0.1351633620610712,0.1381921470561493,0.1416666197792094,0.1351633620610712,0.1375222440452767,0.1388525105854197,0.1351633620610712,0.1362201633919069,0.1351633620610712
157,2025-09-05 13:30:00,0.1424003393236705,0.1388363104627181,0.1435910255131399,0.14252545898706662,0.13602220126892842,0.1390509862640065,0.14252545898706662,0.13602220126892842,0.1383810832531339,0.1397113497932769,0.13602220126892842,0.1370790025997641,0.13602220126892842
158,2025-09-13 13:31:00,0.1438002837973684,0.1388363104627181,0.1449909699868378,0.14392540346076452,0.13602220126892842,0.1390509862640065,0.14392540346076452,0.13602220126892842,0.1383810832531339,0.1411112942669748,0.13602220126892842,0.1370790025997641,0.13602220126892842
159,2025-09-20 19:00:00,0.1571675839425129,0.1522036106078626,0.1583582701319823,0.15729270360590902,0.14938950141407292,0.152418286409151,0.15729270360590902,0.14938950141407292,0.1517483833982784,0.1544785944121193,0.14938950141407292,0.1504463027449086,0.14938950141407292
160,2025-10-10 13:30:00,0.1679438908178167,0.1629799174831664,0.1691345770072861,0.1680690104812128,0.1601658082893767,0.1631945932844548,0.1680690104812128,0.1601658082893767,0.16252469027358218,0.1652549012874231,0.1601658082893767,0.1612226096202124,0.1601658082893767
161,2025-10-12 13:30:00,0.16883513248221918,0.1629799174831664,0.1700258186716886,0.1689602521456153,0.1601658082893767,0.16408583494885728,0.1689602521456153,0.1601658082893767,0.16341593193798468,0.1661461429518256,0.1601658082893767,0.1621138512846149,0.1601658082893767
162,2025-11-07 13:30:00,0.17293318817088868,0.1670779731718359,0.1741238743603581,0.1730583078342848,0.1642638639780462,0.16818389063752678,0.1730583078342848,0.1642638639780462,0.16751398762665418,0.1702441986404951,0.1642638639780462,0.1662119069732844,0.1642638639780462
163,2025-11-13 13:30:00,0.17619232053133177,0.1670779731718359,0.1741238743603581,0.1763174401947279,0.1642638639780462,0.17144302299796987,0.1763174401947279,0.1642638639780462,0.17077311998709727,0.17350333100093818,0.1642638639780462,0.16947103933372748,0.1642638639780462
164,2025-11-15 19:00:00,0.17383635056469296,0.1670779731718359,0.1741238743603581,0.1763174401947279,0.1642638639780462,0.17144302299796987,0.1763174401947279,0.1642638639780462,0.17077311998709727,0.17350333100093818,0.1642638639780462,0.16947103933372748,0.1642638639780462
165,2025-12-05 13:30:00,0.17463126879807975,0.1670779731718359,0.1741238743603581,0.1763174401947279,0.1642638639780462,0.17144302299796987,0.1763174401947279,0.1642638639780462,0.17077311998709727,0.17350333100093818,0.1642638639780462,0.16947103933372748,0.1642638639780462
166,2025-12-12 13:30:00,0.17463126879807975,0.1670779731718359,0.1741238743603581,0.1763174401947279,0.1642638639780462,0.17144302299796987,0.1763174401947279,0.1642638639780462,0.17077311998709727,0.17350333100093818,0.1642638639780462,0.16947103933372748,0.1642638639780462
167,2025-12-16 19:00:00,0.17919228715860605,0.1716389915323622,0.1786848927208844,0.1808784585552542,0.1688248823385725,0.17600404135849618,0.1808784585552542,0.1688248823385725,0.17533413834762357,0.17806434936146448,0.1688248823385725,0.17403205769425378,0.1688248823385725
